# re,im (signed integer codes)
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
32000,0
