# re,im (signed integer codes)
-2076,-4456
7265,3732
1720,55
1121,-6043
-4712,-4218
-1346,529
-2765,-2789
1965,-864
-2437,-3288
-295,2510
269,-4277
-4326,-3683
-2729,3524
3077,3955
-4000,-2660
-58,858
4071,-1142
-288,-5302
-1709,-10735
-4174,2182
-1888,897
977,-401
-6715,-3153
-2401,-414
910,-2110
-5192,-6497
-4362,-1175
-1200,1358
64,-271
6356,-3037
-3487,-592
-5292,-7475
-4080,1879
4116,1648
1749,-381
7571,-5319
3551,-3748
-2538,1328
-2217,-3046
-4549,-5999
-1348,2744
-1548,6298
-3916,4246
1176,-1216
-11619,-163
5516,3231
-453,2472
-3394,1725
6996,5305
-3343,-657
-5211,4529
-1367,-3547
3808,-8865
2950,11574
114,-6345
-3573,-108
2805,-1653
444,-1686
450,-120
426,1494
9221,1494
654,3351
4907,-2850
-2184,1865
4941,3062
-1708,7012
-3618,-4765
-5087,306
8226,-7221
2577,4734
242,-1344
5371,-3612
2553,5703
-2439,4142
506,4140
4888,-143
-9304,-7710
4477,-1062
2515,1997
2802,-868
-946,3052
3132,8315
2534,-1976
2070,-7346
-3068,-3584
-576,-2385
-3545,-4340
-6181,-1748
10086,-2271
3322,-8768
1872,2142
-697,-335
392,-2164
-4019,-1671
1687,-4242
2456,816
2947,4717
8537,1381
7138,1943
-3187,1842
-2046,669
3029,880
7145,-1172
-5892,-8501
-121,-749
6091,-738
4725,7308
-2292,4469
3255,2652
5601,4955
-1506,1842
990,4831
-4242,3769
-4079,2047
-855,4341
1240,3076
3844,-1346
-1176,1238
1879,-1501
3460,-5756
-1226,767
5131,2200
-1159,-9463
-3160,-3354
4893,255
435,-3893
5999,-2987
1440,180
2434,-2257
-1538,-1765
-2839,-1506
-1562,67
1243,-1985
-891,4788
-6627,-2152
-7191,1928
-7271,3783
831,5766
446,1468
-523,-3433
-7932,8765
-5341,3453
5169,-1919
3815,3550
-4976,-4030
-1516,-1825
-4010,565
-1035,-1355
6538,39
-1775,6412
-4492,-6206
-90,3914
-797,4931
1970,-9501
3591,-590
-147,1643
6761,-3994
-2389,903
-1014,-5659
-6030,-1073
3209,5407
4448,-3907
-4895,1359
1111,4013
-1140,-3380
2268,-734
-4706,-3260
-1081,1840
736,-987
6671,-4158
8329,-2419
-488,3200
-719,-10520
1051,1487
365,-3281
-2097,762
-3967,-6381
-930,-2315
-4706,4878
659,-889
2909,-4026
-3141,-1438
-2179,-4134
6412,1056
-889,-2375
-2369,-565
3264,700
168,-1456
-8599,-766
-5394,197
-1342,-7175
-1221,2141
-249,3116
-4010,2253
-6770,543
-1113,3934
4146,-1009
2103,-827
-892,3542
3402,-3642
-3427,-2555
-3842,-6759
2650,-7742
4657,3952
-8758,729
4827,8275
-3612,-2470
1123,-6612
6462,1129
4683,-3767
-2254,3817
854,3316
2770,4769
-2925,625
-4894,-1188
1269,-295
-3955,1453
-3484,2800
-2650,-1924
1637,4377
3867,2897
255,782
277,7480
2111,1837
-8830,3052
7692,4008
-2623,-6696
4765,-728
-4605,5314
1275,3132
-1694,2120
-1303,-571
-1374,-460
-169,-8225
2443,4680
3927,5461
-6790,-1014
1736,795
-5827,427
-1389,-2379
2539,-3864
-110,-112
5229,-1290
-1460,-5839
-341,-3724
-457,7040
-3506,-7677
1282,5938
6919,-8918
-1220,-4544
-1003,-5552
-3035,-5820
6132,2685
-8584,5536
7061,-1419
-2968,2007
-2022,605
-1654,7171
1339,1384
-523,-1663
2843,299
6403,9328
7150,6063
266,2589
-2539,8037
6375,687
1880,-3723
-24,-5155
1931,968
3040,-3658
-2387,3034
-3280,-1785
1929,-5154
-4426,1715
169,2958
-4108,-184
-712,-7108
8122,1445
-6364,-3552
1079,1841
-3108,3713
9064,-3379
316,-4362
-395,-839
3083,-5066
625,825
8185,4465
-1242,-684
-254,10274
-304,1651
-518,-3121
-2626,4664
-635,-1971
-411,-4338
149,1427
3942,2736
2754,20
103,1429
141,-4623
-472,-471
-3807,2678
5879,4829
-3325,-4832
262,-3752
-1728,3874
675,-1961
-6641,2627
-730,79
1829,9000
984,-2031
2731,-3726
-711,-5958
3606,-6658
3724,8776
-1829,13709
-146,5115
-3844,3854
-3201,-2792
-3930,-449
6830,-850
-5154,1148
-5034,-12
1076,-401
3879,-1628
1314,6188
2188,-2486
5377,-3033
4479,-3134
8650,1319
618,461
5769,1798
1336,5737
-526,260
-2496,-3525
5504,-5725
3462,-65
-829,2316
2531,-5821
4575,3978
1478,-3228
-4915,8368
-1107,-3774
2390,-2884
4751,3656
952,2952
1208,-2789
-2193,2903
3465,-7119
7733,1558
-2058,2932
375,4330
3662,-947
-3991,-1064
3714,-5341
-520,10773
4501,2308
-1434,2297
5246,4010
-298,-3163
-2781,-10223
2740,606
2516,-2294
-5056,6471
-4214,6130
1023,659
1683,907
-7652,-3867
5987,-3618
829,-2427
-1669,-1810
6180,2999
2728,880
1869,1280
8915,6311
-3155,-3349
-1706,5993
-1055,4430
-4984,2521
7471,-2910
8328,-6611
-368,1572
1190,-1978
2363,-2713
-6833,2011
-2341,-4611
-1026,-417
-2145,-7191
-5202,-5229
-838,-3016
-1197,5355
7412,2256
900,2157
-3615,-7079
-3006,2779
8661,-875
-726,3221
-132,-3568
5733,88
3069,5336
4905,4791
-1133,-8515
-222,-4569
-6471,-3577
-38,165
-3874,231
-935,-3254
-5496,-9634
-3708,-1621
4489,1403
-2704,-2064
4182,2380
972,-1243
-10158,3201
-4542,6278
-8083,-2379
-6953,8902
10567,-6658
1290,943
938,-755
1600,145
4539,-2043
-2035,5015
2231,-7267
-2528,-985
1898,-2321
-5133,-3558
-6443,1841
-9090,1780
4926,-2785
4510,1126
-376,490
6898,2874
-3659,-1868
-3340,3458
642,4759
6874,2543
-615,-7493
6845,-2765
2935,-6903
-58,5279
1779,-843
6540,106
-8003,430
1902,-2040
2509,5884
3737,998
3771,597
-1949,-873
-3492,-2358
-4607,-774
912,1667
-2773,1680
1995,256
-2516,-2844
2583,312
2491,9121
-1275,-582
2865,3953
4309,-4638
671,2351
96,2009
-417,361
-810,-735
-3215,-6373
2033,-2973
1780,-104
1562,6717
-763,2093
3773,8181
10784,1450
-182,-4832
759,2538
991,756
-2201,872
-1405,-6916
-3821,245
-1107,-6656
5365,-429
-5795,2953
-5201,2252
5146,-1301
5281,-1515
4097,2355
3155,-1191
-3611,8577
-699,-1886
1059,-7142
-3440,-3166
1298,2965
1149,-2476
-1100,-6140
12680,-98
-3091,-5269
1666,3469
-2355,-431
-10147,-647
-7078,-2581
2262,-276
7013,-6065
1332,354
-893,2371
3593,1386
-2057,331
-997,-9287
8003,-1136
-917,-5191
2046,-3768
361,-6540
1473,341
383,-3067
2267,-216
-7863,-575
8317,4193
2016,-6847
3435,-3641
-3851,8106
401,-4401
5062,4577
634,5065
797,-3322
-3749,-3331
-3652,-7075
-1025,3062
6227,-1396
5016,2328
-719,1315
-850,-3592
940,6685
-3831,-798
411,2158
4199,-451
4806,784
-7356,3821
-2434,-1995
-983,1619
771,-9318
-1885,173
-1646,4930
2265,306
-6025,1095
426,-5292
-319,3232
-1725,-4969
-7682,-8842
5031,2985
3206,-1563
-478,2525
-1118,-437
4932,2826
-264,-1129
1495,-3058
5136,3422
1479,-286
-489,-1455
1839,2613
7216,-1981
-1421,7025
1509,-1376
7812,-7
3500,2677
-2,-305
3140,3213
2025,6289
-426,3636
-4944,-6634
637,-1601
-5016,-1410
-400,2219
1797,-669
376,7506
986,-1771
-734,3784
-2198,2024
-6795,-2891
7159,1732
2508,-3154
3263,202
-2667,23
4596,6638
-937,1390
-5874,1712
2615,1200
-3160,-37
2143,-3393
6188,722
-5506,4484
4511,-2763
-3677,-1450
-6088,-1066
-2124,4047
8246,-3133
-4314,1752
-2974,-4079
-3742,-6032
-1516,-5421
2254,1650
-3608,-5628
-249,-2309
-9739,2437
-1217,-9473
-2278,1056
575,709
3177,-3187
-1184,-10248
3118,-7040
2410,869
-1528,-2010
-3819,-111
1629,-963
-5262,-2173
3568,6289
4084,4608
-1305,-1370
-6591,-834
4105,1408
1944,-6161
4172,-3085
2017,3458
-6076,-4414
7791,-2652
-1724,-6345
-7419,3899
915,1916
-8395,7921
1300,-184
-5107,-4349
-4412,-1679
1615,-307
1900,-1035
-279,1390
-4142,-3136
9111,-4476
-1378,2279
-1282,-6692
823,4471
-4298,396
-7309,2696
-2378,-2296
-5732,-2205
-2767,-2968
1589,2524
31,-1179
1121,-1026
1678,-1472
-189,754
5400,3813
843,2252
734,3256
1467,-1353
-1404,-1621
-3595,1666
1502,2640
-289,-4465
-4319,-2634
-437,-2809
2135,6312
1956,-2849
4003,-1079
317,-2183
-3111,1593
-5796,801
-6296,-524
1240,472
-5198,611
1315,-1068
5933,3804
-3087,-3542
-6866,2686
4175,-6661
-3886,-4849
2644,1741
-11217,-2228
-7759,191
7431,2420
8476,3155
4187,-1428
12067,3712
-4077,584
-1044,-7055
-3695,-1988
-2695,-2470
-3721,3258
-1763,-6201
5561,1321
447,-2813
-357,2128
1431,1787
-5543,-3338
-3963,-3486
10069,-5947
30,-1169
-6878,-1219
3263,-4466
1963,-3136
-3898,476
-3769,651
556,-2528
-3583,2505
-5527,930
2999,-2969
1365,-2543
-5405,3270
752,5971
2570,1867
-2509,3676
-2077,8278
4150,-1571
