# re,im (signed integer codes)
32767,0
32767,-26
32767,-51
32767,-76
32767,-101
32767,-126
32767,-151
32767,-176
32767,-202
32767,-227
32767,-252
32766,-277
32766,-302
32766,-327
32766,-352
32765,-377
32765,-403
32765,-428
32764,-453
32764,-478
32764,-503
32763,-528
32763,-553
32762,-579
32762,-604
32761,-629
32761,-654
32760,-679
32760,-704
32759,-729
32759,-754
32758,-780
32758,-805
32757,-830
32756,-855
32756,-880
32755,-905
32754,-930
32754,-955
32753,-981
32752,-1006
32751,-1031
32750,-1056
32750,-1081
32749,-1106
32748,-1131
32747,-1156
32746,-1181
32745,-1207
32744,-1232
32743,-1257
32742,-1282
32741,-1307
32740,-1332
32739,-1357
32738,-1382
32737,-1408
32736,-1433
32735,-1458
32734,-1483
32733,-1508
32732,-1533
32730,-1558
32729,-1583
32728,-1608
32727,-1633
32726,-1659
32724,-1684
32723,-1709
32722,-1734
32720,-1759
32719,-1784
32718,-1809
32716,-1834
32715,-1859
32713,-1884
32712,-1910
32710,-1935
32709,-1960
32707,-1985
32706,-2010
32704,-2035
32703,-2060
32701,-2085
32700,-2110
32698,-2135
32696,-2160
32695,-2185
32693,-2211
32691,-2236
32689,-2261
32688,-2286
32686,-2311
32684,-2336
32682,-2361
32681,-2386
32679,-2411
32677,-2436
32675,-2461
32673,-2486
32671,-2511
32669,-2536
32667,-2561
32665,-2586
32663,-2612
32661,-2637
32659,-2662
32657,-2687
32655,-2712
32653,-2737
32651,-2762
32649,-2787
32647,-2812
32645,-2837
32642,-2862
32640,-2887
32638,-2912
32636,-2937
32633,-2962
32631,-2987
32629,-3012
32626,-3037
32624,-3062
32622,-3087
32619,-3112
32617,-3137
32615,-3162
32612,-3187
32610,-3212
32607,-3237
32605,-3262
32602,-3287
32600,-3312
32597,-3337
32595,-3362
32592,-3387
32589,-3412
32587,-3437
32584,-3462
32581,-3487
32579,-3512
32576,-3537
32573,-3562
32571,-3587
32568,-3612
32565,-3637
32562,-3662
32559,-3687
32557,-3712
32554,-3737
32551,-3762
32548,-3787
32545,-3812
32542,-3837
32539,-3862
32536,-3887
32533,-3912
32530,-3937
32527,-3962
32524,-3987
32521,-4012
32518,-4037
32515,-4062
32512,-4086
32509,-4111
32505,-4136
32502,-4161
32499,-4186
32496,-4211
32493,-4236
32489,-4261
32486,-4286
32483,-4311
32479,-4336
32476,-4361
32473,-4386
32469,-4410
32466,-4435
32463,-4460
32459,-4485
32456,-4510
32452,-4535
32449,-4560
32445,-4585
32442,-4610
32438,-4634
32435,-4659
32431,-4684
32427,-4709
32424,-4734
32420,-4759
32417,-4784
32413,-4809
32409,-4833
32405,-4858
32402,-4883
32398,-4908
32394,-4933
32390,-4958
32387,-4983
32383,-5007
32379,-5032
32375,-5057
32371,-5082
32367,-5107
32363,-5132
32359,-5156
32355,-5181
32351,-5206
32347,-5231
32343,-5256
32339,-5280
32335,-5305
32331,-5330
32327,-5355
32323,-5380
32319,-5404
32315,-5429
32311,-5454
32306,-5479
32302,-5504
32298,-5528
32294,-5553
32289,-5578
32285,-5603
32281,-5627
32276,-5652
32272,-5677
32268,-5702
32263,-5726
32259,-5751
32255,-5776
32250,-5801
32246,-5825
32241,-5850
32237,-5875
32232,-5899
32228,-5924
32223,-5949
32218,-5974
32214,-5998
32209,-6023
32205,-6048
32200,-6072
32195,-6097
32191,-6122
32186,-6147
32181,-6171
32176,-6196
32172,-6221
32167,-6245
32162,-6270
32157,-6295
32152,-6319
32148,-6344
32143,-6369
32138,-6393
32133,-6418
32128,-6443
32123,-6467
32118,-6492
32113,-6516
32108,-6541
32103,-6566
32098,-6590
32093,-6615
32088,-6640
32083,-6664
32078,-6689
32073,-6713
32067,-6738
32062,-6763
32057,-6787
32052,-6812
32047,-6836
32041,-6861
32036,-6885
32031,-6910
32025,-6935
32020,-6959
32015,-6984
32009,-7008
32004,-7033
31999,-7057
31993,-7082
31988,-7106
31982,-7131
31977,-7155
31971,-7180
31966,-7205
31960,-7229
31955,-7254
31949,-7278
31944,-7303
31938,-7327
31932,-7352
31927,-7376
31921,-7401
31915,-7425
31910,-7449
31904,-7474
31898,-7498
31892,-7523
31887,-7547
31881,-7572
31875,-7596
31869,-7621
31863,-7645
31857,-7670
31852,-7694
31846,-7718
31840,-7743
31834,-7767
31828,-7792
31822,-7816
31816,-7841
31810,-7865
31804,-7889
31798,-7914
31792,-7938
31785,-7962
31779,-7987
31773,-8011
31767,-8036
31761,-8060
31755,-8084
31749,-8109
31742,-8133
31736,-8157
31730,-8182
31723,-8206
31717,-8230
31711,-8255
31705,-8279
31698,-8303
31692,-8328
31685,-8352
31679,-8376
31673,-8401
31666,-8425
31660,-8449
31653,-8473
31647,-8498
31640,-8522
31634,-8546
31627,-8570
31620,-8595
31614,-8619
31607,-8643
31601,-8667
31594,-8692
31587,-8716
31581,-8740
31574,-8764
31567,-8789
31560,-8813
31554,-8837
31547,-8861
31540,-8885
31533,-8910
31526,-8934
31519,-8958
31513,-8982
31506,-9006
31499,-9030
31492,-9055
31485,-9079
31478,-9103
31471,-9127
31464,-9151
31457,-9175
31450,-9199
31443,-9224
31436,-9248
31429,-9272
31421,-9296
31414,-9320
31407,-9344
31400,-9368
31393,-9392
31386,-9416
31378,-9440
31371,-9464
31364,-9488
31357,-9513
31349,-9537
31342,-9561
31335,-9585
31327,-9609
31320,-9633
31312,-9657
31305,-9681
31298,-9705
31290,-9729
31283,-9753
31275,-9777
31268,-9801
31260,-9825
31253,-9849
31245,-9873
31237,-9897
31230,-9921
31222,-9945
31215,-9968
31207,-9992
31199,-10016
31192,-10040
31184,-10064
31176,-10088
31168,-10112
31161,-10136
31153,-10160
31145,-10184
31137,-10208
31129,-10231
31122,-10255
31114,-10279
31106,-10303
31098,-10327
31090,-10351
31082,-10375
31074,-10398
31066,-10422
31058,-10446
31050,-10470
31042,-10494
31034,-10518
31026,-10541
31018,-10565
31010,-10589
31001,-10613
30993,-10636
30985,-10660
30977,-10684
30969,-10708
30961,-10732
30952,-10755
30944,-10779
30936,-10803
30927,-10826
30919,-10850
30911,-10874
30902,-10898
30894,-10921
30886,-10945
30877,-10969
30869,-10992
30860,-11016
30852,-11040
30844,-11063
30835,-11087
30827,-11111
30818,-11134
