# re,im (signed integer codes)
32032,0
32009,30
31974,18
31974,-19
32009,-31
32031,-1
32009,30
31974,18
31974,-19
32009,-31
32031,-1
32009,30
31974,18
31974,-19
32009,-31
32031,-1
32010,30
31974,18
31974,-19
32009,-31
32031,-1
32010,30
31974,18
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32009,-31
32031,-1
32010,30
31974,19
31973,-19
32008,-31
32031,-1
32010,30
31974,19
31973,-18
32008,-31
32031,-2
32010,30
31974,19
31973,-18
32008,-31
32031,-2
32010,30
31974,19
31973,-18
32008,-31
32031,-2
32010,30
31974,19
31973,-18
32008,-31
32031,-2
32011,30
31974,19
31973,-18
32008,-31
32031,-2
32011,30
31974,19
31973,-18
32008,-31
32031,-2
32011,30
31974,19
31973,-18
32008,-31
32031,-2
32011,29
31974,19
31973,-18
32008,-31
32031,-2
32011,29
31974,19
31973,-18
32008,-31
32031,-2
32011,29
31974,19
31973,-18
32008,-31
32031,-2
32011,29
31975,19
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31973,-18
32008,-31
32031,-2
32011,29
31975,20
31972,-18
32007,-31
32031,-3
32011,29
31975,20
31972,-18
32007,-32
32031,-3
32011,29
31975,20
31972,-18
32007,-32
32031,-3
32011,29
31975,20
31972,-18
32007,-32
32031,-3
32011,29
31975,20
31972,-17
32007,-32
32031,-3
32011,29
31975,20
31972,-17
32007,-32
32031,-3
32012,29
31975,20
31972,-17
32007,-32
