# re,im (signed integer codes)
31987,-2
-10,-1
-9,-1
-9,-1
-9,-1
-9,-1
-8,-1
-8,-1
-8,-1
-8,-1
-7,-1
-6,-1
-6,-1
-7,-1
-7,-1
-9,-1
-8,-1
-7,-1
-5,-1
-7,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-1
-5,-1
-8,-1
-7,-1
-5,-1
-6,-1
-6,-1
-5,-1
-5,-1
-6,-1
-6,-1
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-7,-1
-7,-1
-5,-1
-3,-1
-5,-1
-4,-1
-4,-1
-5,-1
-4,-1
-7,-1
-5,-1
-5,-1
-1,0
-7,-1
-5,-1
-5,-1
-7,-1
-6,-1
-5,-1
-5,-1
-4,-1
-6,-1
-6,-1
-4,-1
-5,-1
-5,-1
-4,-1
-4,-1
-5,-1
-5,-1
-4,-1
-5,-1
-6,-1
-6,-1
-5,-1
-4,-1
-5,-1
-4,-1
-4,-1
-4,-1
-4,-1
-5,-1
-5,-1
-4,-1
-4,-1
-5,-1
-4,-1
-3,-1
-6,-1
-6,-1
-4,-1
-4,-1
-4,-1
-5,-1
-5,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-6,-1
-6,-1
-4,-1
-4,-1
-5,-1
-4,-1
-4,-1
-4,-1
-4,-1
-6,-1
-4,-1
-1,0
-1,0
-6,-1
-1,0
-3,-1
-6,-1
-5,-1
-5,-1
-5,-1
-4,-1
-5,-1
-5,-1
-4,-1
-4,-1
-5,-1
-5,-1
-3,-1
-3,-1
-3,-1
-4,-1
-3,-1
-5,-1
-5,-1
-4,-1
-2,-1
-3,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-3,-1
-4,-1
-3,-1
-3,-1
-3,-1
-4,-1
-5,-1
-5,-1
-4,-1
-4,-1
-4,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-5,-1
-5,-1
-4,-1
-3,-1
-4,-1
-3,-1
-3,-1
-3,-1
-4,-1
-5,-1
-4,-1
-4,-1
-1,0
-5,-1
-3,-1
-4,-1
-5,-1
-5,-1
-3,-1
-4,-1
-3,-1
-5,-1
-5,-1
-3,-1
-3,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-5,-1
-5,-1
-4,-1
-3,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-4,-1
-3,-1
-3,-1
-3,-1
-4,-1
-3,-1
-3,-1
-5,-1
-5,-1
-3,-1
-3,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-3,-1
-5,-1
-5,-1
-3,-1
-3,-1
-3,-1
-2,-1
-2,-1
-3,-1
-3,-1
-5,-1
-3,-1
-1,0
-1,0
-5,-1
-1,0
-3,-1
-5,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-4,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-3,-1
-4,-1
-3,-1
-4,-1
-4,-1
-3,-1
-2,-1
-4,-1
-3,-1
-3,-1
-2,-1
-2,-1
-3,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-4,-1
-4,-1
-3,-1
-2,-1
-3,-1
-2,-1
-2,-1
-3,-1
-2,-1
-2,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-2,-1
-3,-1
-2,-1
-2,-1
-3,-1
-3,-1
-4,-1
-3,-1
-3,-1
-1,0
-4,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-2,-1
-4,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-3,-1
-3,-1
-3,0
-3,-1
-3,-1
-2,0
-4,-1
-4,-1
-2,-1
-3,-1
-3,-1
-3,0
-3,0
-3,-1
-2,-1
-3,-1
-3,-1
-2,-1
-2,-1
-2,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-2,-1
-4,-1
-3,-1
-1,0
-1,0
-4,-1
-1,0
-3,-1
-4,-1
-4,-1
-4,-1
-4,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-4,-1
-4,-1
-1,0
-2,0
-2,-1
-3,-1
-3,-1
-4,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-2,-1
-2,-1
-1,0
-3,-1
-3,-1
-3,-1
-4,-1
-4,-1
-2,-1
-3,-1
-2,-1
-2,-1
-2,-1
-3,-1
-3,-1
-2,0
-2,0
-3,-1
-3,-1
-3,-1
-2,-1
-3,-1
-4,-1
-4,-1
-3,-1
-2,-1
-3,-1
-2,-1
-2,-1
-3,-1
-3,-1
-4,-1
-2,-1
-2,-1
-1,0
-4,-1
-3,-1
-2,-1
-4,-1
-4,-1
