# re,im (signed integer codes)
31997,0
31986,-910
31947,-1818
31882,-2723
31792,-3626
31677,-4527
31535,-5424
31369,-6316
31178,-7204
30960,-8086
30718,-8962
30452,-9829
30161,-10690
29845,-11541
29506,-12383
29142,-13216
28755,-14038
28345,-14847
27913,-15645
27459,-16432
26981,-17204
26481,-17962
25961,-18707
25420,-19437
24858,-20150
24276,-20848
23676,-21528
23056,-22191
22416,-22836
21759,-23463
21085,-24071
20393,-24660
19685,-25228
18962,-25778
18223,-26305
17469,-26811
16701,-27296
15920,-27759
15126,-28199
14320,-28618
13503,-29013
12673,-29385
11835,-29732
10986,-30056
10129,-30356
9264,-30630
8390,-30881
7511,-31106
6626,-31308
5735,-31482
4839,-31633
3940,-31758
3037,-31857
2132,-31930
1225,-31979
317,-31999
-591,-31997
-1499,-31966
-2405,-31911
-3310,-31829
-4211,-31722
-5109,-31591
-6004,-31433
-6893,-31251
-7776,-31042
-8655,-30809
-9526,-30552
-10389,-30269
-11243,-29961
-12089,-29630
-12924,-29276
-13750,-28898
-14565,-28496
-15367,-28070
-16158,-27623
-16935,-27155
-17699,-26663
-18447,-26150
-19182,-25615
-19901,-25061
-20605,-24486
-21291,-23892
-21960,-23278
-22612,-22646
-23245,-21996
-23860,-21327
-24455,-20641
-25032,-19939
-25587,-19221
-26122,-18487
-26636,-17738
-27128,-16976
-27599,-16199
-28048,-15409
-28474,-14607
-28877,-13794
-29257,-12968
-29613,-12133
-29944,-11288
-30253,-10434
-30537,-9572
-30796,-8701
-31031,-7824
-31241,-6941
-31425,-6052
-31584,-5157
-31717,-4259
-31826,-3357
-31908,-2453
-31964,-1547
-31995,-638
-32000,270
-31980,1177
-31934,2084
-31862,2989
-31764,3893
-31641,4791
-31492,5688
-31318,6578
-31119,7464
-30894,8345
-30645,9218
-30371,10083
-30072,10941
-29750,11790
-29403,12629
-29033,13459
-28640,14277
-28222,15084
-27784,15879
-27321,16661
-26837,17429
-26332,18183
-25806,18924
-25259,19648
-24690,20355
-24104,21049
-23496,21725
-22870,22382
-22226,23021
-21565,23644
-20884,24245
-20188,24829
-19475,25391
-18746,25934
-18004,26455
-17245,26954
-16474,27434
-15689,27890
-14891,28323
-14082,28735
-13260,29123
-12428,29487
-11587,29828
-10736,30144
-9876,30437
-9008,30705
-8133,30948
-7252,31167
-6365,31360
-5472,31527
-4575,31671
-3674,31787
-2772,31879
-1865,31945
-958,31985
-51,31999
858,31987
1765,31950
2671,31887
3574,31799
4476,31684
5373,31544
6265,31379
7153,31189
8036,30973
8912,30733
9780,30467
10640,30178
11493,29863
12335,29526
13169,29163
13990,28779
14801,28370
15600,27938
16387,27484
17160,27008
17920,26510
18664,25990
19393,25451
20108,24890
20807,24310
21489,23709
22152,23090
22799,22451
23427,21796
24035,21122
24626,20431
25196,19725
25745,19003
26274,18264
26781,17511
27268,16744
27732,15964
28174,15170
28593,14365
28989,13548
29361,12719
29711,11881
30036,11032
30336,10176
30613,9311
30865,8439
31092,7560
31295,6674
31472,5783
31623,4888
31749,3989
31849,3086
31924,2182
31973,1275
31996,367
31994,-541
31965,-1449
31912,-2355
31833,-3260
31726,-4162
31596,-5061
31440,-5956
31258,-6845
31051,-7729
30819,-8606
30563,-9478
30281,-10341
29976,-11197
29646,-12043
