# re,im (signed integer codes)
-2076,-4456
7265,3733
1719,55
1121,-6043
-4713,-4219
-1347,529
-2764,-2790
1965,-863
-2437,-3289
-296,2510
270,-4278
-4326,-3682
-2729,3524
3077,3956
-4000,-2660
-57,860
4071,-1142
-287,-5302
-1708,-10735
-4175,2182
-1888,897
978,-402
-6715,-3153
-2402,-414
910,-2110
-5192,-6498
-4361,-1175
-1199,1357
64,-270
6357,-3038
-3486,-593
-5292,-7475
-4080,1879
4115,1648
1747,-380
7571,-5320
3551,-3748
-2538,1328
-2216,-3046
-4548,-5999
-1349,2743
-1548,6299
-3916,4247
1176,-1216
-11619,-164
5516,3231
-454,2472
-3394,1725
6996,5305
-3344,-657
-5213,4529
-1367,-3546
3808,-8865
2949,11574
114,-6345
-3573,-108
2804,-1653
445,-1686
450,-121
426,1494
9221,1494
652,3351
4907,-2850
-2185,1866
4942,3062
-1709,7012
-3618,-4765
-5087,305
8226,-7221
2577,4735
242,-1344
5372,-3612
2553,5703
-2441,4142
506,4140
4888,-142
-9304,-7710
4477,-1060
2514,1996
2804,-869
-946,3053
3133,8315
2534,-1975
2071,-7345
-3068,-3585
-576,-2386
-3546,-4338
-6182,-1748
10085,-2271
3322,-8767
1871,2144
-697,-335
393,-2164
-4019,-1670
1687,-4242
2455,817
2947,4717
8537,1381
7137,1943
-3187,1841
-2046,668
3030,880
7146,-1171
-5890,-8500
-121,-748
6091,-737
4724,7307
-2292,4470
3255,2653
5599,4955
-1507,1843
990,4832
-4243,3768
-4079,2045
-855,4341
1239,3077
3843,-1345
-1176,1238
1879,-1500
3459,-5757
-1225,768
5131,2199
-1159,-9462
-3159,-3354
4892,255
436,-3892
6000,-2986
1439,181
2434,-2257
-1537,-1765
-2837,-1506
-1562,67
1243,-1985
-891,4790
-6627,-2154
-7191,1927
-7270,3783
831,5767
446,1468
-523,-3434
-7932,8765
-5342,3451
5169,-1919
3814,3550
-4976,-4030
-1514,-1825
-4010,565
-1034,-1356
6539,40
-1775,6413
-4493,-6206
-90,3915
-797,4930
1970,-9501
3591,-590
-149,1644
6761,-3993
-2388,902
-1013,-5658
-6031,-1074
3208,5408
4449,-3907
-4896,1359
1110,4013
-1141,-3379
2268,-736
-4706,-3259
-1080,1839
736,-987
6671,-4158
8329,-2419
-487,3200
-719,-10520
1050,1487
364,-3280
-2096,762
-3966,-6381
-931,-2314
-4708,4876
659,-889
2909,-4027
-3142,-1440
-2179,-4134
6414,1057
-888,-2375
-2370,-564
3264,700
167,-1456
-8601,-766
-5393,196
-1342,-7175
-1221,2140
-250,3116
-4010,2251
-6770,542
-1113,3933
4146,-1008
2104,-827
-891,3543
3403,-3641
-3427,-2555
-3841,-6760
2650,-7742
4656,3952
-8757,728
4827,8275
-3613,-2470
1124,-6613
6462,1130
4683,-3766
-2254,3816
854,3317
2769,4770
-2925,625
-4894,-1188
1269,-294
-3955,1453
-3485,2799
-2650,-1924
1637,4376
3868,2898
255,782
277,7480
2110,1837
-8830,3053
7693,4008
-2624,-6696
4765,-728
-4605,5314
1276,3132
-1694,2120
-1303,-570
-1374,-459
-169,-8224
2443,4680
3926,5462
-6790,-1014
1734,795
-5827,426
-1388,-2379
2539,-3865
-110,-112
5230,-1289
-1461,-5839
-341,-3723
-459,7040
-3505,-7677
1282,5939
6918,-8918
-1220,-4543
-1004,-5551
-3035,-5820
6132,2685
-8584,5537
7061,-1417
-2969,2008
-2023,605
-1653,7171
1339,1383
-522,-1663
2843,299
6403,9329
7149,6065
265,2590
-2540,8037
6375,688
1880,-3723
-25,-5156
1931,969
3040,-3659
-2387,3034
-3280,-1785
1929,-5154
-4426,1714
168,2958
-4107,-184
-712,-7108
8122,1446
-6364,-3553
1078,1840
-3108,3713
9066,-3378
315,-4362
-395,-839
3083,-5065
625,825
8183,4465
-1243,-683
-255,10273
-303,1651
-518,-3121
-2626,4663
-635,-1971
-412,-4337
148,1427
3941,2737
2754,19
101,1429
141,-4621
-472,-471
-3807,2679
5879,4829
-3324,-4833
263,-3752
-1728,3873
674,-1960
-6641,2626
-730,79
1829,8999
984,-2031
2731,-3726
-711,-5958
3606,-6658
3723,8776
-1830,13708
-145,5115
-3844,3853
-3201,-2791
-3930,-450
6829,-850
-5154,1148
-5033,-12
1076,-401
3879,-1629
1313,6188
2188,-2485
5377,-3033
4480,-3132
8648,1319
618,463
5770,1799
1335,5737
-524,260
-2496,-3524
5505,-5726
3462,-65
-829,2317
2531,-5822
4575,3980
1477,-3228
-4914,8368
-1107,-3774
2390,-2884
4752,3655
951,2951
1209,-2788
-2193,2903
3465,-7119
7733,1558
-2058,2934
375,4330
3662,-948
-3990,-1064
3714,-5340
-521,10772
4501,2307
-1434,2298
5245,4011
-298,-3163
-2780,-10223
2739,607
2516,-2294
-5056,6472
-4213,6129
1023,659
1681,906
-7651,-3868
5987,-3617
829,-2427
-1668,-1811
6180,2999
2726,880
1869,1281
8914,6312
-3154,-3349
-1706,5994
-1055,4430
-4984,2521
7472,-2910
8328,-6610
-368,1572
1189,-1978
2363,-2713
-6833,2011
-2341,-4611
-1026,-417
-2143,-7192
-5201,-5229
-839,-3016
-1198,5355
7413,2257
900,2157
-3615,-7079
-3006,2779
8662,-875
-726,3219
-131,-3568
5732,88
3069,5337
4905,4791
-1132,-8514
-221,-4569
-6470,-3579
-37,164
-3873,230
-935,-3254
-5496,-9633
-3707,-1619
4489,1403
-2703,-2064
4181,2380
973,-1243
-10158,3202
-4542,6276
-8083,-2379
-6953,8901
10567,-6658
1291,943
939,-755
1599,144
4538,-2042
-2035,5014
2231,-7267
-2527,-985
1899,-2322
-5132,-3558
-6443,1840
-9090,1780
4927,-2784
4510,1126
-377,489
6898,2874
-3659,-1869
-3339,3458
643,4759
6874,2544
-614,-7493
6845,-2765
2936,-6902
-57,5278
1780,-843
6539,105
-8003,428
1903,-2040
2508,5884
3736,998
3770,597
-1951,-872
-3492,-2357
-4607,-773
912,1667
-2771,1681
1997,255
-2517,-2844
2582,312
2490,9120
-1275,-582
2864,3953
4309,-4639
671,2350
95,2010
-417,360
-809,-735
-3214,-6372
2033,-2972
1782,-103
1562,6717
-764,2093
3773,8181
10784,1450
-182,-4833
760,2539
993,756
-2201,872
-1405,-6915
-3821,243
-1107,-6656
5365,-430
-5795,2952
-5201,2252
5147,-1301
5281,-1515
4097,2355
3155,-1190
-3611,8577
-700,-1886
1060,-7141
-3440,-3165
1298,2965
1147,-2477
-1100,-6140
12679,-97
-3091,-5270
1666,3468
-2355,-430
-10148,-647
-7077,-2582
2262,-276
7013,-6063
1332,354
-893,2370
3592,1386
-2056,331
-998,-9286
8002,-1136
-916,-5192
2047,-3768
362,-6540
1473,340
383,-3067
2266,-216
-7862,-575
8317,4193
2017,-6847
3436,-3641
-3850,8106
401,-4402
5062,4577
634,5065
797,-3322
-3749,-3332
-3651,-7075
-1025,3063
6228,-1396
5016,2329
-721,1315
-851,-3591
940,6686
-3831,-798
411,2159
4199,-450
4805,784
-7357,3821
-2434,-1995
-984,1618
772,-9318
-1885,173
-1646,4930
2265,305
-6024,1095
425,-5292
-319,3233
-1725,-4970
-7681,-8841
5031,2985
3206,-1563
-478,2524
-1117,-437
4932,2826
-265,-1130
1496,-3058
5136,3423
1480,-285
-487,-1454
1838,2613
7215,-1982
-1420,7025
1509,-1376
7811,-6
3500,2677
-1,-305
3141,3212
2025,6289
-426,3636
-4944,-6634
638,-1602
-5016,-1410
-400,2219
1797,-669
375,7506
987,-1771
-734,3784
-2197,2024
-6795,-2891
7159,1732
2507,-3153
3263,202
-2668,24
4596,6639
-936,1390
-5874,1712
2614,1199
-3160,-37
2143,-3393
6187,723
-5506,4483
4512,-2762
-3677,-1450
-6089,-1065
-2124,4047
8247,-3134
-4315,1751
-2974,-4079
-3742,-6031
-1515,-5421
2255,1649
-3607,-5627
-249,-2309
-9739,2437
-1217,-9471
-2278,1056
575,709
3177,-3187
-1184,-10248
3118,-7039
2410,868
-1528,-2011
-3819,-110
1629,-964
-5262,-2173
3569,6289
4084,4608
-1304,-1370
-6590,-835
4105,1408
1945,-6161
4171,-3085
2017,3458
-6076,-4414
7790,-2652
-1723,-6344
-7419,3899
914,1917
-8395,7920
1301,-184
-5106,-4350
-4412,-1678
1615,-307
1900,-1035
-278,1390
-4141,-3137
9110,-4476
-1379,2278
-1282,-6691
823,4469
-4297,396
-7310,2696
-2377,-2296
-5731,-2205
-2767,-2968
1589,2525
33,-1179
1121,-1025
1678,-1471
-188,754
5400,3814
843,2252
