# re,im (signed integer codes)
32031,0
31982,297
31979,512
32021,809
31965,1107
31955,1321
31991,1619
31928,1916
31911,2130
31939,2427
31870,2724
31846,2937
31868,3234
31791,3530
31760,3743
31776,4038
31693,4334
31655,4546
31663,4840
31574,5135
31529,5346
31531,5639
31434,5933
31383,6143
31378,6434
31275,6727
31216,6935
31205,7226
31095,7517
31030,7724
31012,8012
30896,8302
30824,8507
30799,8794
30676,9081
30598,9285
30567,9569
30437,9855
30352,10057
30315,10339
30179,10623
30087,10822
30043,11102
29901,11384
29803,11580
29753,11858
29604,12137
29500,12331
29443,12606
29288,12883
29178,13074
29115,13347
28954,13621
28837,13809
28768,14078
28600,14349
28477,14535
28402,14801
28229,15069
28099,15251
28018,15514
27839,15779
27704,15958
27617,16218
27432,16479
27290,16655
27197,16910
27007,17168
26859,17340
26761,17593
26564,17847
26411,18015
26307,18263
26105,18514
25946,18678
25836,18922
25629,19169
25464,19329
25349,19569
25136,19812
24966,19968
24845,20204
24627,20442
24452,20594
24326,20825
24103,21059
23922,21207
23791,21433
23563,21663
23377,21806
23241,22028
23008,22253
22817,22391
22676,22608
22438,22828
22242,22962
22097,23174
21854,23389
21653,23518
21503,23725
21256,23935
21050,24058
20896,24261
20644,24466
20434,24584
20275,24781
20019,24981
19805,25094
19641,25285
19381,25480
19162,25587
18995,25773
18731,25963
18508,26065
18337,26245
18068,26429
17842,26525
17667,26700
17394,26878
17164,26969
16985,27137
16709,27310
16475,27395
16293,27558
16014,27725
15776,27804
15590,27960
15308,28121
15066,28194
14877,28345
14592,28500
14347,28567
14155,28712
13867,28861
13619,28922
13424,29060
13132,29203
12882,29257
12684,29390
12390,29526
12137,29575
11936,29700
11639,29831
11384,29873
11181,29992
10882,30116
10623,30152
10418,30265
10117,30382
9856,30411
9649,30518
9345,30629
9082,30652
8873,30751
8568,30856
8303,30872
8092,30965
7785,31063
7518,31073
7306,31159
6997,31251
6729,31254
6515,31333
6205,31418
5935,31414
5720,31487
5408,31566
5137,31555
4921,31621
4608,31693
4336,31676
4119,31735
3806,31800
3533,31776
3314,31828
3000,31886
2727,31855
2508,31901
2193,31952
1919,31915
1700,31953
1385,31998
1110,31953
890,31985
575,32023
300,31972
80,31996
-235,32028
-510,31970
-729,31987
-1044,32012
-1320,31947
-1539,31958
-1853,31976
-2128,31904
-2347,31908
-2661,31919
-2936,31840
-3154,31837
-3468,31842
-3741,31756
-3959,31746
-4271,31744
-4545,31652
-4761,31635
-5073,31626
-5345,31527
-5560,31504
-5871,31488
-6142,31382
-6356,31352
-6665,31330
-6935,31218
-7147,31180
-7455,31151
-7723,31033
-7934,30989
-8240,30953
-8507,30828
-8716,30777
-9020,30735
-9285,30603
-9492,30546
-9794,30497
-10057,30359
-10263,30295
-10562,30240
-10823,30095
-11026,30025
-11323,29963
-11582,29812
-11782,29735
-12077,29668
-12334,29510
-12531,29427
-12824,29353
-13077,29189
-13272,29099
-13562,29019
-13812,28849
-14004,28753
-14291,28667
-14539,28491
-14728,28389
-15011,28297
-15256,28114
-15442,28006
-15722,27908
-15963,27720
-16146,27605
-16422,27502
-16660,27307
-16839,27187
-17112,27077
-17347,26877
-17522,26751
-17791,26636
-18022,26430
-18193,26299
-18459,26178
-18686,25966
-18853,25829
-19114,25702
-19338,25485
-19501,25343
-19758,25211
-19977,24988
-20136,24840
-20389,24703
-20604,24475
-20759,24322
-21007,24180
-21217,23947
-21368,23788
-21611,23640
-21817,23403
-21963,23238
-22202,23086
-22403,22843
-22544,22674
-22778,22517
-22975,22270
-23111,22096
-23340,21934
-23532,21682
-23663,21503
-23887,21337
-24074,21080
-24200,20896
-24418,20726
-24600,20464
-24721,20276
-24934,20101
-25111,19836
-25226,19643
-25434,19464
-25606,19194
-25715,18998
-25918,18815
-26084,18541
-26188,18340
-26385,18153
-26546,17875
-26644,17671
-26835,17480
-26990,17198
-27083,16990
-27268,16795
-27417,16510
-27504,16298
-27684,16100
-27827,15811
-27908,15596
-28082,15395
-28219,15103
-28294,14884
-28461,14679
-28593,14384
-28662,14162
-28823,13955
-28948,13657
-29011,13431
-29166,13221
-29285,12920
-29342,12692
