# re,im (signed integer codes)
24000,0
12003,6991
11992,-6802
23998,171
12012,7181
11979,-6612
23995,343
12019,7371
11964,-6421
23990,515
12023,7562
11946,-6231
23982,686
12026,7751
11927,-6041
23973,858
12026,7941
11905,-5851
23961,1029
12025,8131
11882,-5661
23947,1201
12021,8321
11856,-5472
23931,1372
12015,8510
11828,-5282
23913,1543
12007,8699
11798,-5093
23893,1714
11997,8888
11766,-4904
23870,1884
11985,9077
11732,-4715
23846,2054
11970,9265
11696,-4526
23819,2224
11954,9453
11658,-4338
23791,2394
11936,9640
11617,-4150
23760,2563
11915,9828
11575,-3962
23727,2732
11893,10015
11530,-3775
23692,2900
11868,10201
11484,-3588
23655,3068
11841,10387
11435,-3402
23615,3236
11813,10573
11385,-3216
23574,3403
11782,10758
11332,-3030
23531,3570
11749,10943
11277,-2845
23485,3736
11714,11127
11220,-2660
23438,3902
11677,11310
11161,-2476
23388,4067
11638,11493
11100,-2293
23336,4232
11597,11675
11037,-2110
23283,4395
11554,11857
10972,-1927
23227,4559
11509,12038
10905,-1746
23169,4721
11462,12219
10836,-1564
23109,4883
11413,12398
10766,-1384
23047,5045
11362,12577
10693,-1204
22984,5205
11309,12756
10618,-1025
22918,5365
11254,12933
10541,-847
22850,5524
11197,13110
10462,-669
22780,5683
11138,13286
10381,-493
22708,5840
11077,13461
10298,-317
22634,5997
11014,13635
10214,-142
22559,6153
10949,13808
10127,32
22481,6308
10883,13981
10039,206
22401,6462
10814,14152
9948,378
22320,6615
10744,14323
9856,550
22236,6767
10671,14492
9762,720
22151,6918
10597,14661
9666,890
22064,7069
10521,14828
9568,1059
21975,7218
10443,14995
9468,1226
21884,7366
10363,15161
9366,1393
21791,7513
10282,15325
9263,1559
21696,7659
10198,15488
9158,1723
21600,7804
10113,15651
9051,1887
21501,7948
10026,15812
8942,2049
21401,8091
9937,15972
8831,2210
21299,8233
9847,16130
8719,2370
21195,8373
9754,16288
8605,2529
21090,8513
9660,16444
8489,2687
20982,8651
9565,16599
8372,2843
20873,8787
9467,16753
8253,2998
20763,8923
9368,16906
8132,3152
20650,9057
9267,17057
8009,3305
20536,9190
9165,17207
7885,3457
20420,9322
9061,17356
7759,3607
20303,9452
8955,17503
7631,3755
20183,9581
8847,17649
7502,3903
20063,9709
8738,17794
7372,4049
19940,9835
8628,17937
7239,4194
19816,9960
8515,18078
7105,4337
19691,10084
8402,18219
6970,4479
19563,10206
8286,18357
6833,4619
19435,10326
8170,18495
6695,4758
19304,10445
8051,18631
6555,4896
19173,10563
7932,18765
6413,5032
19039,10679
7810,18898
6270,5166
18904,10794
7688,19029
6126,5299
18768,10907
7563,19158
5980,5431
18631,11018
7438,19287
5833,5561
18491,11128
7311,19413
5685,5689
18351,11236
7183,19538
5535,5816
18209,11343
7053,19661
5383,5941
18066,11448
6922,19783
5231,6065
17921,11552
6789,19903
5077,6186
17775,11653
6656,20021
4922,6307
17628,11754
6521,20137
4765,6425
17479,11852
6384,20252
4607,6542
17329,11949
6247,20365
4448,6657
17178,12044
6108,20477
4288,6771
17025,12137
5968,20586
4127,6883
16872,12229
5827,20694
3964,6993
16717,12318
5685,20800
3800,7101
16561,12407
5541,20904
3636,7207
16404,12493
5397,21007
3470,7312
16245,12577
5251,21108
3302,7415
16086,12660
5104,21206
3134,7516
15925,12741
4957,21303
2965,7616
15764,12820
4808,21398
2795,7713
15601,12897
4658,21492
2623,7809
15437,12972
4507,21583
2451,7903
15272,13046
4355,21673
2278,7995
15107,13117
4202,21760
2104,8085
14940,13187
4048,21846
1929,8173
14772,13255
3894,21930
1753,8259
14604,13321
3738,22011
1576,8344
14434,13385
3582,22091
1398,8426
14264,13447
3424,22169
1219,8507
14093,13507
3266,22245
1040,8585
13921,13565
3107,22319
860,8662
13748,13621
2947,22391
679,8737
13574,13675
2787,22461
497,8809
13400,13727
2626,22529
315,8880
13224,13778
2464,22595
131,8949
13048,13826
2301,22659
-52,9016
12872,13872
2138,22721
-237,9081
